7.2122,-0.1052
8.0574,-0.1667
10.4144,-0.2298
12.1442,-0.4263
13.8185,-0.6206
15.8181,-0.6631
16.991,-0.3887
18.324,0.6659
18.8905,1.5573
18.9807,3.0282
18.87,3.8475
18.5016,4.4198
18.1672,5.1632
17.5958,5.9737
16.5691,7.0625
15.6229,8.1155
15.118,8.7672
14.0477,10.3464
13.3163,11.715
13.1584,12.3602
12.8355,13.0519
12.2406,14.3113
11.4273,15.9429
10.3015,17.2197
9.6954,17.8836
8.9633,18.0362
7.7329,17.9104
6.9368,17.7194
5.8085,17.1331
4.9474,16.8772
4.0344,16.7589
3.1855,16.5
2.4647,16.6024
1.727,16.8567
0.3534,17.7308
-0.1151,18.5191
-0.8777,19.2391
-2.7428,20.4928
-4.9652,20.8938
-6.0774,20.7894
-8.1718,20.1573
-9.9549,18.8862
-10.6372,18.0203
-11.5356,16.2128
-11.9244,15.09
-11.9622,14.1764
-12.27,11.6695
-12.5287,9.0661
-12.7066,6.7162
-12.8536,4.5716
-12.6115,2.1141
-12.256,1.595
-11.7019,1.2829
-10.7641,0.892
-8.4967,0.7033
-6.6035,0.7262
-5.9784,0.6678
-5.2605,0.5753
-3.4058,0.3053
-1.4108,0.2368
0.6223,0.1895
2.5796,0.1399
