4.9648,0.053
5.4588,-0.1716
6.2352,0.1481
7.9853,-0.4178
8.6984,-0.6878
9.2414,-1.158
9.9132,-2.391
9.6129,-2.7584
10.0511,-3.2693
10.631,-4.6532
10.8384,-5.3723
11.4155,-5.9521
12.455,-6.2661
14.5244,-6.1802
16.9255,-5.5545
18.0164,-5.0194
19.881,-3.3423
20.4106,-2.7001
21.2856,-1.3056
21.8097,0.3201
22.2753,1.7896
22.479,3.5477
22.4646,4.8588
22.1808,5.6294
21.9737,6.8423
20.8061,9.0272
20.2627,9.7825
18.8549,11.1418
18.105,11.7725
15.8594,12.063
14.3838,11.9376
13.7796,12.014
11.8889,11.7273
11.1846,11.3266
10.2895,10.5901
10.0088,10.0081
9.6246,8.7561
9.3749,8.2202
9.3324,7.5596
9.3162,6.8572
8.4176,5.7263
7.7503,5.2976
6.8675,5.1915
5.207,4.9788
3.8655,4.9272
2.4795,4.8917
1.9773,4.9318
0.8676,5.2072
0.3849,5.5125
-0.7584,6.3164
-1.171,6.5928
-1.7404,7.1335
-2.4336,7.5401
-3.2219,7.8678
-5.0642,8.1696
-5.6638,8.091
-6.8828,7.6066
-7.4709,6.8981
-7.8175,6.1323
-8.01,4.6953
-7.9374,3.9634
-7.6788,3.0873
-7.74,2.3072
-8.0983,0.5306
-8.4545,-0.0475
-9.0246,-0.6865
-9.4257,-1.2486
-10.0836,-1.7363
-11.3823,-2.7748
-11.8946,-3.0533
-12.3765,-3.616
-13.0436,-4.0652
-13.6537,-4.7115
-13.9408,-5.7295
-13.7922,-6.5728
-13.1225,-8.1659
-12.6943,-8.501
-11.9833,-8.8395
-10.5867,-9.4751
-9.6615,-9.5185
-7.7987,-9.3018
-6.1419,-8.694
-5.6693,-8.3143
-5.3379,-7.9321
-5.0022,-7.3976
-4.219,-6.3454
-3.1496,-4.9669
-2.0903,-3.6198
-1.1768,-2.4648
-0.236,-1.5549
0.2704,-1.2973
0.8341,-0.67
1.3866,-0.3563
2.6256,-0.0744
3.1758,-0.0271
