4.6649,-0.2176
5.0716,-0.0172
6.4599,-0.0319
8.5102,-0.5062
9.9448,-1.1294
10.5614,-1.6067
11.1464,-1.9128
12.4784,-2.7281
13.4398,-3.0214
14.7434,-3.0552
15.625,-2.9721
16.3245,-2.6823
17.0511,-2.5238
18.3961,-2.0149
19.0176,-1.4641
19.5279,-0.751
20.0433,-0.185
20.5645,0.5016
21.2919,2.0978
21.6449,3.9931
21.6269,5.0036
21.5098,6.8009
21.0586,8.4334
20.6013,9.2748
19.3734,10.8083
17.7167,12.0615
16.8968,12.4992
14.9059,12.7452
13.8912,12.4869
12.3949,11.5957
11.7939,11.0193
10.6169,9.6604
10.1586,9.1477
8.9515,7.7629
8.1898,7.0279
6.9947,6.4646
6.2654,6.165
5.1281,6.0868
4.5994,6.13
3.914,6.5125
2.5137,7.5197
2.0709,8.1733
0.8285,9.429
0.2867,9.959
-0.8793,11.0204
-2.214,12.0473
-3.6803,12.9793
-5.3381,13.7196
-7.4042,14.066
-8.4586,14.1053
-9.2032,13.9678
-10.2626,13.7673
-11.8706,12.7012
-12.5367,12.0622
-13.5855,10.7593
-14.5016,9.156
-14.8077,8.3705
-15.2911,6.6811
-15.608,4.8226
-15.636,3.802
-15.3498,1.8368
-14.8421,0.1044
-14.1335,-1.4495
-13.6222,-2.3281
-12.5848,-3.7806
-10.9269,-5.1624
-9.105,-5.6489
-7.7794,-5.6352
-5.996,-5.064
-4.5892,-3.8969
-3.8937,-3.253
-3.3698,-2.5726
-1.9679,-1.3274
-1.4461,-0.9203
-0.6915,-0.7303
-0.0013,-0.4616
0.9834,-0.415
2.8627,-0.2871
